	954.0
jurang	6.0
1001	8.0
merekalah	5.0
kbetulan	1.0
gampaang	1.0
1009	1.0
walhasil	1.0
mayjen	1.0
aayooo	1.0
bogor	9.0
ripanya	1.0
binasakn	1.0
pertamaxnya	1.0
fulgar	2.0
100m	2.0
nusro	1.0
bertanda	1.0
diedit	8.0
seharuanya	1.0
anehny	1.0
berfirman	1.0
dijalani	11.0
mhssw	3.0
rafinha	1.0
100x	2.0
akan2	3.0
100t	2.0
akali	1.0
marurara	1.0
hrsy	1.0
hrta	1.0
kagaak	3.0
idiotnya	1.0
akalx	1.0
syngnya	1.0
berlandskan	1.0
slsainya	2.0
sangsi	10.0
prrreeeettt	1.0
hrsx	1.0
2gitu	1.0
diintip	1.0
eranya	3.0
userxxx77	1.0
akang	10.0
kiai2	2.0
annjiinnng	1.0
melenkapin	1.0
gaaaa	1.0
molotov	5.0
mempelajari	8.0
eeyyy	1.0
benarr	5.0
dbandingkn	1.0
tanggepin	1.0
ricuhhhhhhhj	1.0
kiahi	1.0
sodaqoh	1.0
hrus	66.0
allohhualam	1.0
filipin	1.0
administrasi	1.0
gadunga	1.0
meniadakan	2.0
hrua	1.0
pengede	1.0
nahkoda	1.0
coach	1.0
gambarnya	17.0
women	3.0
nananya	1.0
1080	1.0
panteees	1.0
betingkah	3.0
benar2	81.0
anehhh	3.0
penyandang	11.0
perjudian	2.0
udg2yg	1.0
nusuk	6.0
kepincut	1.0
syilvi	1.0
mndapat	3.0
yerlapor	1.0
akal2	2.0
kecelakan	2.0
dcemarin	1.0
benaaarrrr	1.0
dimakarin	1.0
soktrapi	1.0
mengakomodir	2.0
perjuankan	1.0
benang	4.0
biasalahhh	1.0
jrang	1.0
kemenag	3.0
megajrksn	1.0
comment2	1.0
barudak	1.0
kutilnya	1.0
sunatin	2.0
dedemit	8.0
kiemas	1.0
alahhh	2.0
kbayakan	1.0
djmin	1.0
benalu	13.0
kebenciaan	1.0
kagak2	1.0
mengkabulkan	1.0
mencalonkan	34.0
pemblsan	1.0
kiano	2.0
mengolok2	7.0
gnpfpi	1.0
preteli	3.0
sangka	30.0
dassr	2.0
ulama2an	1.0
qlue	1.0
pasangan2	1.0
comments	1.0
ciptaanx	1.0
gemes	10.0
misimu	1.0
disamain	1.0
dikaaih	1.0
dojimpain	1.0
mmaki	1.0
tggal	2.0
nyoloknya	1.0
jeniuuss	1.0
ndaig	1.0
bandit2	1.0
gnjingnya	2.0
hrman	1.0
strus	1.0
struk	14.0
alahuuu	2.0
struh	1.0
berjuang	78.0
akbar	175.0
putera	6.0
siuman	3.0
genep	1.0
diacak2	1.0
hhhhaaaa	2.0
sekaramg	3.0
sparatis	1.0
faham	98.0
bolang	2.0
grtis	1.0
fahar	1.0
berkesinambungan	1.0
maaraaaaaaaaaaaaaarrrrrrrgh	1.0
bohek	3.0
gendu	1.0
fitnahnya	5.0
datng	1.0
sweeping	12.0
apannya	1.0
coba2	18.0
disalah2in	1.0
bolany	1.0
ikannya	5.0
sekarank	1.0
sekarang	781.0
keagaamaan	1.0
kelesss	3.0
polres	2.0
kirsuh	3.0
banding	15.0
reporter	9.0
dianjurkan	5.0
berkehendak	13.0
keoada	1.0
marketing	2.0
belsjar	1.0
puter2	5.0
mengkal	1.0
beribadahlah	1.0
medreka	1.0
woles	4.0
pemeluknya	2.0
pemiliknya	5.0
axhar	1.0
hitem	1.0
mnyadari	1.0
pesawat	11.0
pembelajaran	10.0
7juta	2.0
startx	1.0
malcom	1.0
genak	1.0
genap	5.0
bohay	6.0
manapun	21.0
genah	1.0
akal2an	14.0
duniawi	43.0
fetis	1.0
strrs	1.0
bohai	1.0
diperingatkan	3.0
pembahasan	1.0
selisih	1.0
dirusak	2.0
patungnya	1.0
bernak	1.0
berpikirlh	1.0
strss	1.0
hemnmnm	1.0
tuhanlah	2.0
gertak2	1.0
biarkanngagak	1.0
deeehhh	1.0
mengasih	2.0
celeng	13.0
ngelesssnya	1.0
dihargain	1.0
sejagad	4.0
vorno	1.0
prwujudan	1.0
pengangkatannya	1.0
ahiookkeerr	1.0
bermutuuu	1.0
sejagat	6.0
diimpeachment	1.0
diijabah	4.0
merambah	3.0
entee	20.0
merambat	2.0
penyembah	41.0
comblang	1.0
entek	3.0
brredar	1.0
hitam	78.0
enten	1.0
bertanya	37.0
ckckckkkkkk	1.0
iyanya	1.0
njungan	1.0
sdranya	1.0
laknaatt	1.0
smasaja	1.0
ngibul	29.0
diambang	4.0
emberrrrrr	1.0
prifesi	1.0
hirarki	1.0
obyeknya	1.0
dikemas	4.0
kesalahab	1.0
dilakukannya	1.0
kesalaham	1.0
betuuuulll	2.0
kesalahan	176.0
ente2	22.0
hsil	6.0
fitsahats	3.0
manapon	1.0
ampyuuuunnnn	1.0
stasiun	12.0
berbungkus	1.0
berpikiran	11.0
mngadaikan	2.0
busukmu	1.0
dua2nya	10.0
somplakkk	1.0
entah	36.0
ashuuu	1.0
ngengek	2.0
entau	1.0
entat	1.0
entas	1.0
plajari	1.0
entar	48.0
datas	1.0
datar	24.0
msalhnya	1.0
bentangan	1.0
pintarnya	5.0
dassaaaaarr	1.0
nasrank	1.0
zarot	2.0
jrngan	1.0
nasrani	121.0
ygvakan	1.0
muhamaad	1.0
nyorakin	1.0
bingkisan	2.0
dijagad	1.0
aksasi	1.0
perceraian	1.0
bivara	1.0
dgar	3.0
kemesuman	2.0
dieeee	1.0
dgan	6.0
najiis	2.0
duniamu	4.0
mengasah	1.0
terasangka	1.0
regulasi	1.0
wkwkekwkwk	1.0
wkwkwkwkkkk	7.0
terbengkalai	3.0
seuprit	1.0
gemuk	6.0
dipengdilan	1.0
fafli	2.0
ngaoain	1.0
menjabat	63.0
hirup	2.0
ditepatin	1.0
hiruk	3.0
menyelami	1.0
stres	48.0
diatur2	3.0
stree	1.0
stred	1.0
diberhentikan	29.0
dekelompok	1.0
sifatnya	15.0
pilihkasih	1.0
keraguan	1.0
sabilillah	1.0
penyelamat	5.0
suntik	5.0
brdampingan	1.0
aaakkkh	1.0
mihfatul	1.0
jamankan	1.0
ybanyak	1.0
merekakan	1.0
huzein	2.0
dableg	1.0
compare	1.0
portugis	1.0
diminum	1.0
sbnernya	1.0
inchrak	1.0
bidangnya	5.0
pmikoran	1.0
asyik	10.0
asyii	1.0
rendangnya	1.0
mngolok2	1.0
kwkkwkkwkk	1.0
menjerumuskan	8.0
ngimbanginnya	1.0
geloo	1.0
wakil2	1.0
keperluan	2.0
maag	1.0
maaf	612.0
gello	1.0
mwnghanvurkan	1.0
sebenarnya	209.0
maak	2.0
speti	3.0
semikot	1.0
mremehkan	1.0
sebenarnye	1.0
dihitung	10.0
kemelut	1.0
fafil	1.0
disambar	4.0
sunter	3.0
perkiraan	4.0
irfan	3.0
mempertaruhkan	9.0
meroket	9.0
maca	1.0
siphilis	1.0
ferri	1.0
bibirny	1.0
mach	1.0
bermanuver	3.0
macm	2.0
dikabul	1.0
ferry	6.0
pertanyannya	1.0
thomas	1.0
toollooll	1.0
ikhwan	2.0
fersi	3.0
bibirmu	1.0
dengkulmu	1.0
tranfer	1.0
maap	24.0
maburan	1.0
hsti	1.0
gusdur	52.0
munafikan	1.0
dimutasi	1.0
cadangan	4.0
truuuuus	4.0
maen	63.0
maem	3.0
madu	8.0
kesajsisn	1.0
buruk2nya	1.0
nurun	2.0
mada	1.0
made	5.0
nurul	3.0
nerimo	1.0
pengungkapannya	1.0
madi	1.0
gelik	1.0
pyudara	1.0
nurut	24.0
najiss	3.0
nerima	10.0
sekencang	1.0
status	57.0
ngrecokin	1.0
betdasarkan	1.0
menghabisi	11.0
darul	1.0
strom	1.0
strok	5.0
portugal	1.0
klepek2	3.0
merokok	2.0
wkekkwkwkwkwwkkwwkkw	1.0
celekk	1.0
stroe	1.0
mago	1.0
mampuuuussssss	1.0
pllih	1.0
lageeee	1.0
dibegituin	1.0
kloojotaan	2.0
mayian	1.0
supercopy	1.0
nglindur	4.0
kabayan	1.0
ditauladani	2.0
menjijikkan	14.0
matiiiiiii	1.0
maff	2.0
geli2	1.0
quebec	1.0
diperlihatkan	5.0
menghancurkan	53.0
1miliar	1.0
burukman	6.0
pernikahan	15.0
hirji	1.0
darto	1.0
mail	6.0
disanggah	1.0
mempertuhankan	1.0
kostumnya	1.0
ngmong	15.0
main	287.0
dikalanga	1.0
ferlu	1.0
mahu	2.0
busukan	1.0
diminta	16.0
diterjang	2.0
prookator	1.0
credit	1.0
brtemu	1.0
maia	6.0
mengatur	30.0
deeeehhh	1.0
geles	1.0
mahh	3.0
tahaan	1.0
ent0t	1.0
gelem	2.0
wakilx	1.0
istirfar	1.0
disambit	1.0
rekning	1.0
disunat	5.0
mahb	1.0
maha	216.0
maki	77.0
mdh2n	2.0
pedekate	1.0
makn	4.0
disalametkeun	1.0
mako	3.0
maku	1.0
maks	1.0
najizz	1.0
dgrn	1.0
brtntangan	1.0
maka	348.0
gelas	2.0
make	29.0
maji	1.0
penataran	1.0
rohinghia	2.0
banykn	1.0
mal2	1.0
sombongnya	10.0
dibelakangi	1.0
maju	542.0
jelajah	1.0
terencana	3.0
asmara	6.0
ubahnya	6.0
mbghlalkan	1.0
exstabilitas	1.0
trending	3.0
ngerti2	6.0
dimingi	1.0
mami	14.0
htam	3.0
taeeekk	2.0
gampaaanngg	1.0
dasmu	3.0
meaning	3.0
munafikny	1.0
keislmn	1.0
mama	21.0
gemar	7.0
wkekekeekkkkk	1.0
mamg	1.0
alaydrus	1.0
mali	1.0
malh	2.0
pengetshuan	1.0
malm	1.0
mall	6.0
snggup	2.0
malu	645.0
mnceritakan	1.0
teriaknya	1.0
kadalin	2.0
fhatua	1.0
sngguh	1.0
mala	10.0
supercar	1.0
diberkati	6.0
banyzk	1.0
sihhab	1.0
membeberkan	4.0
habiiiiib	1.0
alaihu	1.0
dialognya	1.0
seharus	17.0
maot	1.0
asmaul	2.0
mikiiir	4.0
ngidam	9.0
babababa	1.0
hauahahaha	1.0
shohibul	1.0
beraroma	2.0
mank	10.0
dimusnahkan	5.0
pengapitleh	1.0
mano	2.0
mann	1.0
manu	2.0
mans	3.0
odyiusjacare	1.0
many	2.0
gemah	3.0
aminais	1.0
kinstutusi	1.0
alaihi	3.0
jmaatnya	1.0
mamy	2.0
mana	1669.0
samudra	2.0
mane	17.0
bogem	1.0
mani	4.0
manh	1.0
mang	111.0
mas2	1.0
dirutan	1.0
plitikus	1.0
alumnus	1.0
dynasti	1.0
seharos	3.0
cococknya	2.0
dijahit	3.0
danendaptkan	1.0
jodohin	1.0
dirangkul	5.0
berman	1.0
prustasi	1.0
nengokin	2.0
ternista	1.0
trtarik	1.0
semogo	1.0
maps	1.0
tuhankan	5.0
speda	2.0
menttinya	1.0
demonstran	6.0
semoga	822.0
kejarot	1.0
syludah	1.0
tunjukin	14.0
ditelantarin	1.0
mau2	2.0
masp	1.0
kagirin	1.0
perlihatkan	4.0
hti2	2.0
mass	7.0
masy	16.0
jbloskn	1.0
bagaimana	173.0
masa	601.0
masf	1.0
mase	1.0
hisab	1.0
sbnarny	1.0
masi	58.0
mash	12.0
anak2nya	5.0
ngertii	1.0
sesorang	2.0
mask	2.0
jmlhnya	1.0
marn	1.0
maru	2.0
mars	17.0
menjabatan	1.0
banysk	1.0
lebaaay	6.0
disambsr	1.0
merecoki	1.0
barongsai	4.0
kwkkwk	1.0
marc	4.0
hadeeeehhhh	1.0
mari	177.0
dibebarkan	1.0
mark	3.0
maut	22.0
maux	3.0
mauu	2.0
pengahayal	1.0
htix	1.0
diketahui	11.0
semoda	1.0
dasem	1.0
maua	1.0
pcran	1.0
maul	1.0
berkoordinasi	1.0
sarupo	1.0
setengahh	1.0
maun	1.0
jappunh	1.0
kapasitasnya	7.0
uteke	1.0
sekelas	21.0
disambut	4.0
berikan	49.0
permainkan	6.0
jappung	1.0
keliatankn	1.0
pngecut	1.0
mengatai	1.0
pentium	2.0
tholol	1.0
mata	341.0
dikenal	15.0
mengatas	44.0
mate	3.0
pokoqnya	1.0
mati	550.0
padangan	1.0
dpukul	1.0
berpotensi	7.0
sarung	9.0
ahlinya	9.0
manas2i	1.0
nepotis	1.0
ketangkepnya	1.0
setengah2	5.0
dijelaskan	11.0
speri	1.0
riziiiiiiiiiq	1.0
goblokpun	1.0
oelaku	1.0
safikin	1.0
didampingi	5.0
spert	1.0
sembelit	1.0
mohammed	2.0
opinion	1.0
clearkan	1.0
menginginkannya	1.0
dikenci	1.0
sembelih	2.0
yalahin	1.0
morent	1.0
seharga	2.0
mantavvvvppp	1.0
mayi	1.0
brmaksud	1.0
trmksh	5.0
laenlah	1.0
sehari2	6.0
dhan	4.0
kebatinan	1.0
munafikkk	2.0
pencatutan	2.0
spele	1.0
kinfik	1.0
nuril	86.0
habis2nya	4.0
10kg	1.0
nasdem	15.0
maya	25.0
nurih	1.0
bapaklah	1.0
fintar	1.0
oelama	1.0
gelut	1.0
mujahiddin	1.0
inisiatif	7.0
fintah	2.0
geluh	1.0
10jt	3.0
tunjukan	33.0
kondisi	40.0
anggaplah	1.0
laporann	1.0
melemparkan	3.0
susahh	1.0
denganmu	2.0
solahudin	2.0
menjebloskan	2.0
sembeleh	1.0
fairness	1.0
kupeng	2.0
tamengin	1.0
dasat	3.0
dasar	1166.0
mamamuda	1.0
mohammad	2.0
hahahahahahaaaa	1.0
cengengesan	4.0
sezuai	1.0
cacatnya	1.0
ladalah	1.0
htng	1.0
tholib	2.0
1201	1.0
menghadirkan	9.0
kartumu	1.0
munafikin	3.0
pentin	1.0
mmcat	1.0
plok2	1.0
blowjob	1.0
dsitu	5.0
didemokrat	1.0
kesejateran	2.0
aopan	1.0
istihorohnya	1.0
meyakinkan	18.0
cocod	1.0
humoris	1.0
ngejelikin	1.0
cocok	154.0
uzur	4.0
bahaimana	1.0
cocot	35.0
mremehkn	1.0
cocor	1.0
berbohongbdi	1.0
kicek	1.0
jemaaat	1.0
cukongnya	6.0
dicampakkan	1.0
gacho	1.0
mbak	110.0
mbah	159.0
munafik2	1.0
munafiik	1.0
laris2	1.0
bahenol	3.0
yalain	2.0
benalu2	1.0
polkada	1.0
nyepet	1.0
provoka	1.0
munafikk	1.0
liputi	1.0
sarran	1.0
iriii	1.0
dihembuskan	2.0
pentes	1.0
menyempurnakan	2.0
bnykan	1.0
terlepas	21.0
mengexport	1.0
andriani	1.0
dikomentarin	1.0
10rb	2.0
dosanye	1.0
fasisme	1.0
pimpinanmu	3.0
mifans	1.0
kebencian	177.0
pengemar	1.0
http	2.0
larimu	1.0
pembunuh	12.0
10th	20.0
heiii	3.0
mbek	1.0
tidurnya	2.0
akbarrr	2.0
kepancing	10.0
ngaruuuuh	1.0
gniin	1.0
himmindzalik	2.0
dosanya	28.0
kwkwjwjwj	1.0
machfud	2.0
nggedabrussss	1.0
diplester	1.0
stuju	23.0
kabelnya	1.0
kejaran	2.0
keahliannya	3.0
kejarah	1.0
abis2	2.0
pendapatnya	6.0
pernahnpunya	1.0
intembelektual	1.0
faktaaa	2.0
dirmah	1.0
kwarganegaraan	1.0
tentaranya	2.0
lecehin	5.0
skakmatinya	1.0
oonnya	1.0
suxpenis	1.0
irational	1.0
keluyuran	5.0
rumahnya	16.0
looooh	2.0
pendekarnya	2.0
grusu	2.0
musyawarahkan	1.0
mber	1.0
leopard	1.0
pndaan	1.0
kwkwkwkwwkwkwkwkwk	1.0
wooii	2.0
logikanya	9.0
haaaadeeeehhh	1.0
abisi	1.0
tuhannya	67.0
ngajuin	2.0
dsini	7.0
ajubillah	1.0
nyadab	2.0
kanggone	1.0
ngompori	6.0
abiss	2.0
tingktan	2.0
lecehkn	1.0
nyadar	52.0
nyadap	76.0
looooo	4.0
esakan	1.0
mngelak	1.0
munafikun	59.0
semkin	1.0
watimpres	2.0
prerogatif	1.0
profokatornya	3.0
irian	2.0
terlepaa	1.0
kndaraannya	1.0
mengintimidasi	6.0
10000	1.0
pentol	6.0
cocik	2.0
didengkul	2.0
simpatisan	16.0
sebgian	1.0
menbuatnya	1.0
bantuannya	2.0
tepatkah	1.0
robohin	2.0
akaln2	1.0
ubun2	2.0
bongkaran	1.0
sokkkk	1.0
pakbar	1.0
amelia	1.0
tangkappppp	1.0
pengemis	23.0
akalmu	1.0
kelalaliman	1.0
menghna	1.0
joseph	2.0
huak	2.0
diisep	2.0
pengemia	1.0
robohkn	1.0
huam	1.0
naikkan	10.0
leluasa	5.0
penghasil	1.0
ketrlaluan	1.0
memaknainya	1.0
pwmbodohan	1.0
haaaahaaa	1.0
islaaaammm	1.0
slameeet	1.0
berilmu	9.0
mbla	1.0
menelusuri	2.0
pengeluh	1.0
mbok	101.0
mboj	1.0
takut2i	1.0
mengkafitoan	2.0
neeeeh	1.0
mbos	1.0
malang	18.0
bapaknya	92.0
keyordania	1.0
lariiiiiii	1.0
vannesa	1.0
wkwkwkwwkckckck	1.0
katena	5.0
wongshow	1.0
mboh	3.0
katene	1.0
vanness	1.0
akalin	2.0
rasulullah	9.0
adaptasi	3.0
huax	2.0
belalang	3.0
dimatengin	1.0
kaptenya	1.0
kempreee	1.0
hancurkaaaaannnn	1.0
memperbolehkan	3.0
mmbri	1.0
fajar	17.0
brtele	1.0
kibul	7.0
hikkkkhikhik	1.0
naseht	2.0
tergaanggu	1.0
beljrlh	1.0
berlan	1.0
owngadilan	1.0
berlah	1.0
nominalnya	1.0
malas2	2.0
dazzall	1.0
astagafirullahaladzim	1.0
classic	1.0
kerjanye	2.0
kerjanya	114.0
sekacau	1.0
kelanjutan	7.0
tipsani	1.0
kinerjay	2.0
rpnya	1.0
memerankan	1.0
terkembang	1.0
diladang	1.0
hugs	1.0
membebrkan	1.0
mematikan	5.0
huga	1.0
hncur	1.0
diajarkan	26.0
sttus	1.0
menghub	1.0
mbsk	1.0
rebana	2.0
hasbunallah	1.0
berikut	9.0
nenggak	2.0
harumkan	2.0
muschin	1.0
ustanz	1.0
malam2	2.0
dikasari	2.0
kedondong	2.0
huft	4.0
cecing	1.0
rampokkk	2.0
mkalum	1.0
muliadi	2.0
bojes	1.0
mlenceng	1.0
hrpan	1.0
panggung	45.0
peanng	1.0
ubtuk	1.0
mbut	1.0
ajarmu	1.0
mengkhafirkan	1.0
datang	252.0
muliaan	1.0
petasan	2.0
tribunnews	7.0
syber	1.0
jurnalis	14.0
katollik	2.0
huhu	1.0
kecurangn	1.0
ngongong	1.0
penggal	16.0
difitnahi	1.0
prkumpula	1.0
dilautan	3.0
logistik	3.0
window	1.0
huhh	3.0
keetemu	1.0
sanfat	1.0
mbwt	2.0
ceramahnya	9.0
mengabulkannya	1.0
tetima	1.0
mmprses	1.0
datar2	2.0
timbamg	1.0
hukm	1.0
petingkat	1.0
birakrat	1.0
davis	1.0
weinnailaihi	1.0
banyak	1598.0
studi	1.0
banyan	1.0
banyam	1.0
ajarin	19.0
zideiq	1.0
browse	1.0
study	1.0
diah	1.0
bensinnya	1.0
irish	1.0
diaa	3.0
antisipatif	1.0
positip	2.0
mghubungi	1.0
akalan	3.0
takarung	1.0
poltak	6.0
manaaaaaaa	2.0
alergi	4.0
dian	4.0
diam	294.0
knyataannya	2.0
hulu	3.0
cepatlah	1.0
berilah	11.0
gerindrax	1.0
maksimal	6.0
ajarkn	1.0
doooong	1.0
positif	13.0
kekayaan	15.0
pimpinansn	1.0
muhizat	1.0
bongkarrr	1.0
demi_kebenaran	1.0
dick	1.0
dich	1.0
magsud	1.0
sepelekan	2.0
praturan	1.0
huoh	1.0
diusahakan	1.0
cingcang	1.0
anjringgg	1.0
dimanaaaa	1.0
jiiik	1.0
kicau	2.0
himbuan	1.0
pcuma	1.0
kemulutnya	1.0
dibw	3.0
gacor	1.0
skillnya	1.0
kaciaaan	1.0
hung	1.0
huni	2.0
ngidul	4.0
dibo	1.0
tekong	1.0
dikantor	5.0
dien	1.0
diem	137.0
krisdayanti	1.0
pimpinanya	4.0
diel	1.0
ustazd	7.0
faith	2.0
diee	2.0
hura	10.0
huuuuu	2.0
mlesek	1.0
didkit2	1.0
meyebar	1.0
dieu	3.0
diet	2.0
david	12.0
dilelang	1.0
sejahterakan	3.0
didi	8.0
memergokinya	1.0
telingamu	1.0
mengiba	1.0
lelahdeh	1.0
ksempatan	1.0
berararti	1.0
pilihnya	3.0
ustaz2	1.0
pengingkaran	1.0
kondangan	1.0
ksahnya	2.0
ngimong	4.0
geraja	1.0
playboyad	1.0
sembroni	1.0
hush	2.0
halrum	1.0
trrbaik	3.0
huss	3.0
huru	9.0
najlah	1.0
zieq	26.0
zieg	5.0
grombo	1.0
ziek	5.0
mebelah	1.0
berunjuk	1.0
anehhhhhhhhh	1.0
lainya	10.0
sembrono	2.0
mentor2	2.0
menyadari	4.0
asyiiiik	1.0
hebaaaaaaat	1.0
gerakn	1.0
beribadah	24.0
tegaskan	2.0
gromet	1.0
bagaima	2.0
haahawwkwkw	1.0
ekekwkwkwkwk	1.0
huuh	1.0
tanggong	1.0
bgmpun	1.0
takutan	2.0
jeysus	1.0
huuu	3.0
dikibarkan	1.0
tegedi	1.0
dibagusbagusin	1.0
hermanto	4.0
besar2kn	1.0
mcam	5.0
astafghfirulloooh	1.0
cobol	1.0
kitabny	1.0
sesamanya	6.0
topless	2.0
hutt	1.0
huts	13.0
munawaroh	1.0
nyadsp	1.0
berjln	2.0
scara	4.0
diko	3.0
diki	1.0
enaknya	38.0
disamping	7.0
tuhhhh	1.0
kselaha	1.0
wkakk	1.0
pengacau2	1.0
rirzig	1.0
gombaalll	1.0
hahhahabbab	2.0
menjelma	4.0
hehhe	5.0
ohhhh	3.0
hehhh	3.0
fahmi	2.0
huwa	1.0
kitabmu	2.0
dipotong2	1.0
conteks	1.0
nutup	4.0
pengacarq	1.0
bubarkanfpi	2.0
pesakitan	9.0
gajauh	1.0
dika	1.0
lokasi	11.0
titebak	1.0
buyutnya	2.0
pengacara	346.0
nyadur	1.0
dimn	7.0
layanin	1.0
phisik	1.0
content	1.0
ding	3.0
anehnya	6.0
dina	3.0
prosperity	1.0
gizzi	1.0
kmntr	3.0
firzahots	5.0
dilu	1.0
wwooooow	1.0
ketulunan	1.0
mahayana	1.0
manasia	1.0
mujaadilah	1.0
binaanya	1.0
dimulutnya	1.0
zikk	2.0
dima	1.0
manasin	10.0
anteng2	2.0
wekekekekekek	1.0
komisaris	6.0
huuahahahaaa	1.0
entuk	5.0
hehee	11.0
quban	1.0
heheh	5.0
trcinta	2.0
entut	1.0
nanggapin	3.0
mundhur	1.0
dasaaar	1.0
mengisi	5.0
babbiii	1.0
kiranya	6.0
zink	1.0
hehey	1.0
dipa	1.0
zina	16.0
kijabanin	1.0
gabar	1.0
mnghrgai	1.0
fetul	2.0
restui	1.0
ustad2	4.0
dino	3.0
minyak	11.0
ngaspal	1.0
bohng	2.0
dini	6.0
mendalami	1.0
dicontohkan	2.0
dimedia	9.0
wonge	1.0
terhina	25.0
aduuuuuh	1.0
costumers	1.0
peranannya	1.0
fahir	1.0
taik2nya	1.0
gilaaaaa	1.0
bubarnkn	1.0
bohon	1.0
mcm2	5.0
lainnn	2.0
ustadz	52.0
vaginanya	3.0
diri	577.0
zipp	1.0
sedotan	1.0
anissa	3.0
kerjapun	1.0
ustads	3.0
serdang	1.0
spantasx	1.0
stttt	1.0
heeeeeee	1.0
misionaris	5.0
tikotok	1.0
habiburohman	7.0
bstul	1.0
mmbla	2.0
mmbully	1.0
dukungan	92.0
biarpun	29.0
jumroh	1.0
menjelek	8.0
disn	1.0
ank2nya	2.0
b181rr	1.0
nenekmya	1.0
mhayal	1.0
seattle	1.0
dita	1.0
kepintaran	6.0
genit	3.0
diru	1.0
roketnya	2.0
genio	2.0
kndisi	3.0
cobaa	2.0
syikur	1.0
disi	1.0
bohin	1.0
disc	78.0
saidina	1.0
kejelekanmu	1.0
disa	1.0
sglanya	1.0
bengkong	1.0
layanan	1.0
entok	2.0
persamaannya	1.0
hipster	1.0
diut	1.0
amaaat	1.0
pengikitnya	1.0
ttnga	1.0
entot	10.0
kidding	1.0
dramatisir	4.0
rakuat	1.0
lembut	21.0
neeeng	1.0
ahokerrrrr	1.0
murkanya	3.0
lembur	2.0
ditv	3.0
ditu	1.0
nempel2	1.0
sporti	2.0
kemacetan	1.0
disudut2	1.0
mengira	1.0
peyiksa	1.0
dinata	1.0
pilhannya	1.0
kejelekanku	1.0
memikirin	1.0
mnista	1.0
tuduhkn	1.0
mmang	10.0
dhargai	1.0
fucking	2.0
mmank	1.0
burungx	1.0
penghasot	2.0
berkat	14.0
nanya2	1.0
berkas	1.0
mujinya	1.0
berkah	45.0
trilyunan	4.0
aturan	183.0
lancung	3.0
terkandung	4.0
anisme	1.0
syafi	7.0
sangit	2.0
cawapres	2.0
dkandangin	1.0
ngocehmu	1.0
berbincang	1.0
byaranya	1.0
dhenok	2.0
ketupat	7.0
mensweeping	1.0
syah2	4.0
pnchrian	1.0
kemendagri	1.0
tlfonan	1.0
brillian	2.0
nanyak	1.0
ndang	7.0
istirahatlah	7.0
dsentuh	1.0
ulama2mu	1.0
diya	5.0
mngndor	1.0
lenserkan	2.0
palistine	1.0
monster	9.0
boomerang	2.0
humprett	1.0
disumpal	2.0
mndengarkan	1.0
disumpah	46.0
bagussss	5.0
djoko	2.0
ngaruhnya	2.0
abieb	1.0
klonkalian	1.0
polotikus	1.0
backstreet	1.0
ddportasi	1.0
praguna	1.0
enyonge	1.0
abies	1.0
jamgan	3.0
pakai2	1.0
bersarang	1.0
cepatkan	1.0
sangek	1.0
anarchy	3.0
daun2	1.0
akhidah	1.0
gabus	1.0
sembiring	3.0
phala	2.0
tanahhhhhhhhhh	1.0
kiay2	1.0
koresterol	1.0
pakain	2.0
massaaaaaaa	1.0
tausiyah	5.0
meloloskan	1.0
dijlnkan	1.0
sehattt	1.0
ndara	1.0
kuciiiiing	1.0
jihad	77.0
derterjen	1.0
menjunjung	15.0
disumpel	3.0
jihak	1.0
almaidah	54.0
jihat	15.0
kiayi	34.0
kadang2	5.0
bribadah	1.0
dijajah	12.0
kuhpnya	1.0
pentas	2.0
mobilisasi	10.0
ngrampok	2.0
nicolas	2.0
intoleran	27.0
djar	1.0
kecubung	2.0
syami	1.0
mlahirkan	2.0
klmpok	1.0
djan	16.0
pesan2	3.0
organisasinya	3.0
mempermasalahkan	11.0
12kg	1.0
membocorkan	2.0
sprtinya	5.0
tuduhan	33.0
sangan	1.0
nutil	1.0
syang	4.0
sejahat	1.0
sangat	521.0
sangar	2.0
ketinggalan	43.0
deeeeeh	1.0
intervensi	22.0
dicoblos	9.0
manfaat	22.0
dgnnya	1.0
pempers	1.0
ngoyooo	1.0
pendahulu	2.0
menghrgai	1.0
dirancang	1.0
tawarin	1.0
penghasut	8.0
suaktu	1.0
keladix	1.0
syapa	1.0
lembab	1.0
albatuta	3.0
sodare2	1.0
terluka	10.0
dapatin	1.0
seembarangan	1.0
menjeratnya	1.0
akbar3x	2.0
nangkring	2.0
lembar	6.0
fatwa2	1.0
dilancarkan	1.0
ngimpii	1.0
tandatangan	3.0
buakakakakak	3.0
istyharho	1.0
kefoknya	1.0
pinginnya	1.0
lunggg	1.0
mencoret	1.0
humpreng	1.0
beriman	87.0
tulung	1.0
laluuuu	2.0
alesan	23.0
berked	1.0
belaguuuuuu	1.0
mkanan	2.0
rakus2	1.0
syair	1.0
maboknya	1.0
mengarah	10.0
pergantian	3.0
berimam	1.0
mdhan	1.0
dikepit	1.0
maklumlah	18.0
dedengkotnya	1.0
diedarkan	2.0
memadukan	1.0
fahri	120.0
celotehnya	1.0
hepeng	6.0
versial	1.0
penceramah	5.0
berantakn	2.0
fahry	6.0
pakar2	2.0
oalaaaaah	1.0
rakuss	1.0
dooongg	1.0
jihii	1.0
sodara2	3.0
sisipit	3.0
tlp2an	1.0
semuanya	186.0
